"check_id","check_name","expected","observed","status","severity","notes"
"SYNC001","NRCB phrase in manuscript","normalized phrase present","present in source and release manuscript","PASS","INFO","No insertion required."
"SYNC002","NRCB phrase in README/docs","normalized phrase present","present in release README/docs","PASS","INFO","Release documentation verified."
"SYNC003","CHK012 synchronized","PASS","PASS","PASS","INFO","Line-wrapping false negative corrected."
"SYNC004","manuscript edit avoided","no manuscript edit unless phrase absent","phrase already present","PASS","INFO","No manuscript source changed."
"SYNC005","report typo fixed","results/m_surrogate_extension_v1/","typo corrected in source and release build reports","PASS","INFO","Only typo-level report text changed."
"SYNC006","final build-check failures","0","0","PASS","INFO","All rows in synchronized build checks are PASS."
"SYNC007","private path scan","0 text matches","0","PASS","INFO","Text-like release files scanned."
"SYNC008","internal term scan","0 text matches","0","PASS","INFO","Binary PDF byte-noise matches excluded from text-scope hygiene check."
"SYNC009","raw SPARC files absent","0","0","PASS","INFO","No .mrt, rotmod zip, or *_rotmod.dat files found."
"SYNC010","large realization table absent","0","0","PASS","INFO","per_realization_controls.csv not included."
"SYNC011","manuscript compile","PASS","PASS","PASS","WARNING","overfull_hbox=3; undefined_markers=0"
"SYNC012","Python syntax","PASS","PASS","PASS","INFO","included release Python scripts parse successfully"
"SYNC013","active cited keys","14","14","PASS","INFO","No citation additions or removals."
"SYNC014","scope lock","no scientific/result changes","no production, figures, numerical, algorithm, citation, or claim changes","PASS","INFO","Final sync was accounting/report-only."
